"id","Status_Final","Rank_Valid","Prop_Sens_A_OK","Prop_Sens_B_OK","Prop_Sens_AB_OK","Prop_Sens_C_Reject","Prop_Info_B_OK","Prop_Info_A_Reject","Mean_Sens_A","Mean_Sens_B","Mean_Sens_AB","Mean_Sens_C","Mean_Info_A","Mean_Info_B","Mean_Info_C","Information_Contrast_B_A","Semantic_Contrast_AB_C","Total_Prop_Visual_Error","Prop_Visual_Error_A","Prop_Visual_Error_B","Prop_Visual_Error_C","Mean_Visual_A","Mean_Visual_B","Mean_Visual_C"
42,"Selected_Tier_1",21,0.88,0.724137931034483,0.796296296296296,0.916666666666667,0.758620689655172,0.8,5.52,5,5.24074074074074,1.33333333333333,2.28,5.58620689655172,1.75,3.30620689655172,3.90740740740741,0.0769230769230769,0.04,0.0344827586206897,0.166666666666667,6.4,6.62068965517241,5.79166666666667
76,"Selected_Tier_1",22,0.818181818181818,0.739130434782609,0.777777777777778,0.72,0.739130434782609,0.818181818181818,5.45454545454545,4.8695652173913,5.15555555555556,2,2.09090909090909,5.39130434782609,1.48,3.300395256917,3.15555555555556,0.1,0.181818181818182,0.0869565217391304,0.04,5.68181818181818,6.43478260869565,6.8
37,"Selected_Tier_1",23,1,1,1,0.956521739130435,0.954545454545455,0.521739130434783,6.78260869565217,6.81818181818182,6.8,1.21739130434783,3.47826086956522,6.77272727272727,1.26086956521739,3.29446640316206,5.58260869565217,0.0588235294117647,0,0.0909090909090909,0.0869565217391304,6.82608695652174,6.54545454545455,6.52173913043478
48,"Selected_Tier_1",24,1,0.96,0.979166666666667,0.96551724137931,0.92,0.608695652173913,6.69565217391304,6.36,6.52083333333333,1.13793103448276,3.17391304347826,6.44,1.51724137931034,3.26608695652174,5.38290229885057,0.038961038961039,0,0,0.103448275862069,6.95652173913043,6.96,6.37931034482759
11,"Selected_Tier_1",25,1,0.862068965517241,0.925925925925926,0.708333333333333,0.793103448275862,0.76,6.96,5.51724137931035,6.18518518518519,2.04166666666667,2.4,5.6551724137931,2.08333333333333,3.2551724137931,4.14351851851852,0.0641025641025641,0.04,0,0.166666666666667,6.76,6.79310344827586,5.875
25,"Selected_Tier_1",26,1,0.862068965517241,0.925925925925926,0.833333333333333,0.827586206896552,0.72,6.96,5.79310344827586,6.33333333333333,2,2.56,5.79310344827586,1.41666666666667,3.23310344827586,4.33333333333333,0.0641025641025641,0.04,0,0.166666666666667,6.88,6.75862068965517,6.04166666666667
144,"Selected_Tier_1",27,1,0.827586206896552,0.907407407407407,0.833333333333333,0.862068965517241,0.64,6.72,5.27586206896552,5.94444444444444,1.41666666666667,2.68,5.89655172413793,1.33333333333333,3.21655172413793,4.52777777777778,0.0769230769230769,0,0.103448275862069,0.125,6.96,6.41379310344828,6.16666666666667
136,"Selected_Tier_1",28,1,0.904761904761905,0.955555555555556,0.954545454545455,0.80952380952381,0.666666666666667,6.66666666666667,5.95238095238095,6.33333333333333,1.22727272727273,2.79166666666667,6,1.18181818181818,3.20833333333333,5.10606060606061,0.0447761194029851,0,0.0476190476190476,0.0909090909090909,6.95833333333333,6.76190476190476,6.54545454545455
133,"Selected_Tier_1",29,1,0.96551724137931,0.981481481481482,0.666666666666667,0.96551724137931,0.56,6.88,6.13793103448276,6.48148148148148,2.54166666666667,3.28,6.48275862068965,2.75,3.20275862068966,3.93981481481482,0.0641025641025641,0,0,0.208333333333333,6.92,6.89655172413793,5.66666666666667
113,"Selected_Tier_1",30,0.91304347826087,0.96,0.9375,0.896551724137931,0.84,0.739130434782609,6.39130434782609,6.2,6.29166666666667,1.48275862068966,2.60869565217391,5.8,1.44827586206897,3.19130434782609,4.80890804597701,0.025974025974026,0,0,0.0689655172413793,6.82608695652174,6.88,6.48275862068965
150,"Selected_Tier_1",31,0.863636363636364,0.954545454545455,0.909090909090909,0.933333333333333,0.863636363636364,0.681818181818182,6.13636363636364,6.22727272727273,6.18181818181818,1.46666666666667,2.95454545454545,6.13636363636364,1.43333333333333,3.18181818181818,4.71515151515151,0.0810810810810811,0.0454545454545455,0,0.166666666666667,6.68181818181818,6.86363636363636,6.03333333333333
75,"Selected_Tier_1",32,0.857142857142857,0.863636363636364,0.86046511627907,0.818181818181818,0.954545454545455,0.571428571428571,5.28571428571429,5.5,5.3953488372093,1.72727272727273,3.0952380952381,6.27272727272727,2.5,3.17748917748918,3.66807610993657,0.138461538461538,0.0952380952380952,0.0454545454545455,0.272727272727273,6.38095238095238,6.63636363636364,5.90909090909091
13,"Selected_Tier_1",33,0.956521739130435,0.96,0.958333333333333,0.689655172413793,0.84,0.695652173913043,6.30434782608696,6.44,6.375,1.96551724137931,2.65217391304348,5.8,2,3.14782608695652,4.40948275862069,0.0649350649350649,0,0.04,0.137931034482759,6.82608695652174,6.68,6
26,"Selected_Tier_1",34,1,1,1,0.904761904761905,1,0.586206896551724,6.68965517241379,6.5,6.60377358490566,1.52380952380952,3.44827586206897,6.58333333333333,1.42857142857143,3.13505747126437,5.07996406109614,0.0675675675675676,0,0,0.238095238095238,6.86206896551724,6.79166666666667,5.76190476190476
39,"Selected_Tier_1",35,1,0.904761904761905,0.955555555555556,0.636363636363636,0.761904761904762,0.708333333333333,6.91666666666667,5.95238095238095,6.46666666666667,3.09090909090909,2.875,6,2.81818181818182,3.125,3.37575757575758,0.0149253731343284,0,0,0.0454545454545455,6.91666666666667,6.85714285714286,6.59090909090909
69,"Selected_Tier_1",36,0.966666666666667,0.869565217391304,0.924528301886792,0.818181818181818,0.91304347826087,0.6,6.66666666666667,6,6.37735849056604,1.68181818181818,3.03333333333333,6.1304347826087,1.81818181818182,3.09710144927536,4.69554030874786,0.0533333333333333,0.0333333333333333,0.0434782608695652,0.0909090909090909,6.83333333333333,6.65217391304348,6.40909090909091
78,"Selected_Tier_1",37,0.909090909090909,0.909090909090909,0.909090909090909,0.966666666666667,0.909090909090909,0.636363636363636,6.40909090909091,6.31818181818182,6.36363636363636,1.13333333333333,3.22727272727273,6.31818181818182,1.2,3.09090909090909,5.23030303030303,0.0135135135135135,0,0,0.0333333333333333,6.81818181818182,6.81818181818182,6.73333333333333
41,"Selected_Tier_1",38,0.958333333333333,1,0.977777777777778,0.863636363636364,0.80952380952381,0.75,6.66666666666667,6.66666666666667,6.66666666666667,1.54545454545455,2.58333333333333,5.66666666666667,1.63636363636364,3.08333333333333,5.12121212121212,0.0447761194029851,0.0416666666666667,0,0.0909090909090909,6.66666666666667,6.90476190476191,6.40909090909091
95,"Selected_Tier_1",39,0.904761904761905,0.954545454545455,0.930232558139535,1,0.909090909090909,0.619047619047619,6.47619047619048,6.27272727272727,6.37209302325581,1.09090909090909,3.19047619047619,6.27272727272727,1.18181818181818,3.08225108225108,5.28118393234672,0.0461538461538462,0.0476190476190476,0,0.0909090909090909,6.71428571428571,6.90909090909091,6.45454545454545
1,"Selected_Tier_1",40,0.958333333333333,0.904761904761905,0.933333333333333,0.772727272727273,0.904761904761905,0.541666666666667,6.70833333333333,6.14285714285714,6.44444444444444,2.09090909090909,3.41666666666667,6.47619047619048,2,3.05952380952381,4.35353535353535,0.0447761194029851,0,0.0476190476190476,0.0909090909090909,6.95833333333333,6.66666666666667,6.45454545454545
