Item,Condition,Semantic_Score,Info_Score,Mean_Visual_Error
86,c,1.39130434782609,1.78260869565217,6.1304347826087
121,c,1.29166666666667,1.25,5.625
124,c,1.13333333333333,1.4,6.8
49,a,6.1,3.2,6.2
29,c,1.24137931034483,1.20689655172414,6.58620689655172
133,b,6.13793103448276,6.48275862068965,6.89655172413793
98,b,5.36666666666667,5.9,6.76666666666667
143,c,1.57142857142857,1.28571428571429,4.80952380952381
112,c,1.28571428571429,1.0,5.71428571428571
104,b,6.52173913043478,5.78260869565217,6.8695652173913
100,b,5.81818181818182,5.18181818181818,6.72727272727273
47,b,6.68181818181818,6.09090909090909,6.77272727272727
33,c,1.3448275862069,1.48275862068966,5.10344827586207
54,c,1.3448275862069,1.3448275862069,6.75862068965517
19,c,2.45454545454545,2.09090909090909,6.54545454545455
67,b,4.69565217391304,4.95652173913043,6.39130434782609
84,a,5.8695652173913,3.1304347826087,6.95652173913043
116,a,6.86363636363636,4.36363636363636,6.90909090909091
32,b,5.72727272727273,6.09090909090909,6.72727272727273
129,b,5.47619047619048,5.57142857142857,6.76190476190476
113,c,1.48275862068966,1.44827586206897,6.48275862068965
101,b,6.0,6.30434782608696,6.60869565217391
76,c,2.0,1.48,6.8
5,b,6.78260869565217,4.30434782608696,6.8695652173913
109,a,6.52380952380952,3.04761904761905,6.61904761904762
9,b,5.13333333333333,5.8,6.86666666666667
7,a,6.0,2.43478260869565,6.73913043478261
127,a,6.65217391304348,2.56521739130435,6.8695652173913
15,a,6.95454545454545,2.5,6.95454545454545
10,a,6.23333333333333,3.3,6.8
64,a,5.93333333333333,2.53333333333333,6.76666666666667
42,a,5.52,2.28,6.4
20,b,4.86363636363636,5.63636363636364,6.81818181818182
80,a,6.36363636363636,4.13636363636364,6.77272727272727
40,b,5.875,5.83333333333333,6.58333333333333
123,a,6.8695652173913,3.65217391304348,7.0
135,c,1.5,2.0,5.54545454545455
149,c,1.18181818181818,1.13636363636364,5.45454545454545
106,b,5.93333333333333,6.26666666666667,6.9
6,b,5.86206896551724,6.3448275862069,6.89655172413793
3,a,6.68965517241379,5.03448275862069,6.96551724137931
41,b,6.66666666666667,5.66666666666667,6.90476190476191
139,c,1.32,1.2,6.16
13,a,6.30434782608696,2.65217391304348,6.82608695652174
30,a,6.68965517241379,3.06896551724138,6.79310344827586
59,a,5.24,2.16,6.88
48,b,6.36,6.44,6.96
108,c,2.63636363636364,2.63636363636364,6.04545454545455
78,b,6.31818181818182,6.31818181818182,6.81818181818182
62,c,1.09090909090909,1.13636363636364,6.18181818181818
105,c,1.72727272727273,1.59090909090909,6.31818181818182
97,c,1.54545454545455,1.81818181818182,4.18181818181818
145,a,6.13793103448276,2.58620689655172,6.72413793103448
125,a,6.68,2.48,6.8
138,c,1.5,1.95454545454545,6.31818181818182
61,b,5.68181818181818,4.54545454545455,6.59090909090909
