"id","Status_Final","Rank_Valid","Prop_Sens_AB_OK","Prop_Sens_C_Reject","Prop_Info_B_OK","Prop_Info_A_Reject","Mean_Sens_A","Mean_Sens_B","Mean_Sens_AB","Mean_Sens_C","Mean_Info_A","Mean_Info_B","Mean_Info_C","Information_Contrast_B_A","Semantic_Contrast_AB_C","Total_Prop_Visual_Error","Prop_Visual_Error_A","Prop_Visual_Error_B","Prop_Visual_Error_C"
103,"Selected_Tier_2",58,0.931818181818182,1,0.818181818181818,0.636363636363636,7,6.09090909090909,6.54545454545455,1.04347826086957,2.90909090909091,5.63636363636364,1.30434782608696,2.72727272727273,5.50197628458498,0.0895522388059701,0.0454545454545455,0.0909090909090909,0.130434782608696
20,"Selected_Tier_2",59,0.780487804878049,0.904761904761905,0.80952380952381,0.65,5.9,4.76190476190476,5.31707317073171,1.57142857142857,2.85,5.57142857142857,1.76190476190476,2.72142857142857,3.74564459930314,0.17741935483871,0.35,0,0.19047619047619
120,"Selected_Tier_2",60,0.780487804878049,1,0.65,0.80952380952381,6.61904761904762,4.75,5.70731707317073,1.04761904761905,2.28571428571429,4.95,1.19047619047619,2.66428571428571,4.65969802555168,0.0645161290322581,0.0476190476190476,0.05,0.0952380952380952
105,"Selected_Tier_2",61,0.902439024390244,0.80952380952381,0.904761904761905,0.6,6.85,5.76190476190476,6.29268292682927,1.76190476190476,3.5,6.14285714285714,1.61904761904762,2.64285714285714,4.53077816492451,0.032258064516129,0,0,0.0952380952380952
102,"Selected_Tier_2",62,0.634146341463415,1,0.80952380952381,0.55,5.65,4.14285714285714,4.8780487804878,1.14285714285714,3.05,5.66666666666667,1.0952380952381,2.61666666666667,3.73519163763066,0.241935483870968,0.2,0,0.523809523809524
74,"Selected_Tier_2",63,0.882352941176471,0.727272727272727,0.909090909090909,0.448275862068966,5.93103448275862,6.90909090909091,6.35294117647059,2,3.89655172413793,6.5,2.54545454545455,2.60344827586207,4.35294117647059,0.0547945205479452,0,0.0909090909090909,0.0909090909090909
141,"Selected_Tier_2",64,0.955555555555556,1,1,0.363636363636364,6.27272727272727,6.8695652173913,6.57777777777778,1,4.27272727272727,6.8695652173913,1.25,2.59683794466403,5.57777777777778,0.246376811594203,0.0909090909090909,0.0434782608695652,0.583333333333333
50,"Selected_Tier_2",65,0.92,1,0.931034482758621,0.476190476190476,5.85714285714286,6.72413793103448,6.36,1,4.09523809523809,6.68965517241379,1.31818181818182,2.5944170771757,5.36,0.0972222222222222,0,0.0344827586206897,0.272727272727273
67,"Selected_Tier_2",66,0.711111111111111,0.916666666666667,0.652173913043478,0.772727272727273,5.36363636363636,4.69565217391304,5.02222222222222,1.41666666666667,2.36363636363636,4.95652173913043,1.79166666666667,2.59288537549407,3.60555555555556,0.260869565217391,0.318181818181818,0.0869565217391304,0.375
134,"Selected_Tier_2",67,0.895833333333333,0.95,0.904761904761905,0.555555555555556,6.25925925925926,6.38095238095238,6.3125,1.35,3.48148148148148,6.04761904761905,1.2,2.56613756613757,4.9625,0.147058823529412,0.037037037037037,0,0.45
97,"Selected_Tier_2",68,0.951219512195122,0.80952380952381,0.952380952380952,0.45,6.4,6.66666666666667,6.53658536585366,1.57142857142857,4.1,6.61904761904762,1.85714285714286,2.51904761904762,4.96515679442509,0.193548387096774,0,0,0.571428571428571
